ratio,cdf
0.1081081081081081,0.006578947368421052
0.1176470588235294,0.013157894736842105
0.120253164556962,0.019736842105263157
0.1333333333333333,0.02631578947368421
0.1379310344827586,0.03289473684210526
0.1428571428571428,0.039473684210526314
0.1470588235294117,0.046052631578947366
0.1470588235294117,0.05263157894736842
0.1470588235294117,0.05921052631578947
0.1515151515151515,0.06578947368421052
0.1589403973509933,0.07236842105263158
0.1607142857142857,0.07894736842105263
0.1617647058823529,0.08552631578947367
0.1621621621621621,0.09210526315789472
0.1666666666666666,0.09868421052631576
0.1666666666666666,0.10526315789473681
0.1666666666666666,0.11184210526315785
0.1666666666666666,0.1184210526315789
0.1682419659735349,0.12499999999999994
0.1739130434782608,0.131578947368421
0.1805555555555555,0.13815789473684204
0.1875,0.14473684210526308
0.1944444444444444,0.15131578947368413
0.1975308641975308,0.15789473684210517
0.2,0.16447368421052622
0.2043795620437956,0.17105263157894726
0.2051282051282051,0.1776315789473683
0.2142857142857142,0.18421052631578935
0.2142857142857142,0.1907894736842104
0.2222222222222222,0.19736842105263144
0.2258064516129032,0.2039473684210525
0.2307692307692307,0.21052631578947353
0.2325581395348837,0.21710526315789458
0.2325581395348837,0.22368421052631562
0.2333333333333333,0.23026315789473667
0.238095238095238,0.23684210526315772
0.2435897435897435,0.24342105263157876
0.25,0.2499999999999998
0.25,0.25657894736842085
0.25,0.2631578947368419
0.2523364485981308,0.269736842105263
0.2564102564102564,0.27631578947368407
0.2571428571428571,0.28289473684210514
0.2571428571428571,0.2894736842105262
0.2575757575757575,0.2960526315789473
0.2666666666666666,0.30263157894736836
0.2666666666666666,0.30921052631578944
0.2689075630252101,0.3157894736842105
0.2708333333333333,0.3223684210526316
0.2727272727272727,0.32894736842105265
0.2777777777777778,0.33552631578947373
0.2795698924731182,0.3421052631578948
0.2987012987012987,0.3486842105263159
0.3046875,0.35526315789473695
0.32,0.361842105263158
0.3448275862068966,0.3684210526315791
0.3461538461538461,0.37500000000000017
0.3488372093023256,0.38157894736842124
0.3496932515337423,0.3881578947368423
0.3544303797468354,0.3947368421052634
0.3571428571428571,0.40131578947368446
0.3716814159292035,0.40789473684210553
0.375,0.4144736842105266
0.3846153846153846,0.4210526315789477
0.3877551020408163,0.42763157894736875
0.391304347826087,0.4342105263157898
0.3939393939393939,0.4407894736842109
0.4,0.44736842105263197
0.4082568807339449,0.45394736842105304
0.4117647058823529,0.4605263157894741
0.4166666666666667,0.4671052631578952
0.4210526315789473,0.47368421052631626
0.4285714285714285,0.48026315789473734
0.4285714285714285,0.4868421052631584
0.4375,0.4934210526315795
0.4444444444444444,0.5000000000000006
0.4444444444444444,0.5065789473684216
0.4545454545454545,0.5131578947368426
0.4558823529411764,0.5197368421052636
0.4615384615384615,0.5263157894736846
0.4642857142857143,0.5328947368421056
0.4705882352941176,0.5394736842105267
0.4736842105263157,0.5460526315789477
0.4746835443037974,0.5526315789473687
0.4951456310679611,0.5592105263157897
0.5133333333333333,0.5657894736842107
0.5217391304347826,0.5723684210526317
0.5263157894736842,0.5789473684210528
0.5277777777777778,0.5855263157894738
0.5294117647058824,0.5921052631578948
0.5294117647058824,0.5986842105263158
0.55,0.6052631578947368
0.5555555555555556,0.6118421052631579
0.5555555555555556,0.6184210526315789
0.5555555555555556,0.6249999999999999
0.5625,0.6315789473684209
0.5666666666666667,0.6381578947368419
0.5714285714285714,0.6447368421052629
0.5833333333333334,0.651315789473684
0.6086956521739131,0.657894736842105
0.6111111111111112,0.664473684210526
0.6147540983606558,0.671052631578947
0.6176470588235294,0.677631578947368
0.625,0.684210526315789
0.6363636363636364,0.6907894736842101
0.6363636363636364,0.6973684210526311
0.6363636363636364,0.7039473684210521
0.6428571428571429,0.7105263157894731
0.6428571428571429,0.7171052631578941
0.6486486486486487,0.7236842105263152
0.6666666666666666,0.7302631578947362
0.7272727272727273,0.7368421052631572
0.7272727272727273,0.7434210526315782
0.7482517482517482,0.7499999999999992
0.75,0.7565789473684202
0.7796610169491526,0.7631578947368413
0.8114285714285714,0.7697368421052623
0.8148148148148148,0.7763157894736833
0.8174603174603174,0.7828947368421043
0.8255813953488372,0.7894736842105253
0.8275862068965517,0.7960526315789463
0.8321167883211679,0.8026315789473674
0.8333333333333334,0.8092105263157884
0.8333333333333334,0.8157894736842094
0.8333333333333334,0.8223684210526304
0.8455284552845529,0.8289473684210514
0.8461538461538461,0.8355263157894725
0.8484848484848485,0.8421052631578935
0.8666666666666667,0.8486842105263145
0.8775510204081632,0.8552631578947355
0.8823529411764706,0.8618421052631565
0.8888888888888888,0.8684210526315775
1.0,0.8749999999999986
1.0,0.8815789473684196
1.0,0.8881578947368406
1.0,0.8947368421052616
1.0,0.9013157894736826
1.0,0.9078947368421036
1.0,0.9144736842105247
1.0,0.9210526315789457
1.0,0.9276315789473667
1.0,0.9342105263157877
1.0,0.9407894736842087
1.0,0.9473684210526298
1.0,0.9539473684210508
1.0,0.9605263157894718
1.0,0.9671052631578928
1.0,0.9736842105263138
1.0,0.9802631578947348
1.0,0.9868421052631559
1.0,0.9934210526315769
1.0,0.9999999999999979
